"Length","Count","Date","Year","Month","Day"
117,1,1996-11-19,1996,11,19
97,1,1996-11-19,1996,11,19
109,1,1996-11-19,1996,11,19
117,1,1996-11-19,1996,11,19
100,1,1996-11-20,1996,11,20
108,1,1996-11-27,1996,11,27
55,1,1997-11-27,1997,11,27
34,1,1998-01-23,1998,1,23
35,1,1998-01-24,1998,1,24
31,1,1998-01-24,1998,1,24
36,1,1998-01-24,1998,1,24
37,3,1998-01-25,1998,1,25
37,3,1998-01-25,1998,1,25
37,3,1998-01-25,1998,1,25
38,1,1998-01-25,1998,1,25
36,2,1998-01-26,1998,1,26
36,2,1998-01-26,1998,1,26
37,6,1998-01-26,1998,1,26
37,6,1998-01-26,1998,1,26
37,6,1998-01-26,1998,1,26
37,6,1998-01-26,1998,1,26
37,6,1998-01-26,1998,1,26
37,6,1998-01-26,1998,1,26
39,1,1998-01-27,1998,1,27
34,1,1998-01-28,1998,1,28
35,1,1998-01-28,1998,1,28
36,1,1998-01-28,1998,1,28
37,3,1998-01-28,1998,1,28
37,3,1998-01-28,1998,1,28
37,3,1998-01-28,1998,1,28
35,3,1998-01-29,1998,1,29
35,3,1998-01-29,1998,1,29
35,3,1998-01-29,1998,1,29
36,3,1998-01-29,1998,1,29
36,3,1998-01-29,1998,1,29
36,3,1998-01-29,1998,1,29
37,3,1998-01-29,1998,1,29
37,3,1998-01-29,1998,1,29
37,3,1998-01-29,1998,1,29
39,1,1998-01-30,1998,1,30
35,2,1998-01-30,1998,1,30
35,2,1998-01-30,1998,1,30
38,1,1998-01-30,1998,1,30
36,5,1998-01-30,1998,1,30
36,5,1998-01-30,1998,1,30
36,5,1998-01-30,1998,1,30
36,5,1998-01-30,1998,1,30
36,5,1998-01-30,1998,1,30
37,1,1998-01-30,1998,1,30
38,1,1998-01-31,1998,1,31
37,2,1998-01-31,1998,1,31
37,2,1998-01-31,1998,1,31
36,1,1998-01-31,1998,1,31
34,1,1998-11-23,1998,11,23
34,1,1998-12-16,1998,12,16
35,2,1998-12-16,1998,12,16
35,2,1998-12-16,1998,12,16
37,1,1998-12-21,1998,12,21
113,1,1998-12-21,1998,12,21
34,1,1998-12-24,1998,12,24
33,1,1998-12-30,1998,12,30
122,1,1998-12-31,1998,12,31
36,1,1999-01-05,1999,1,5
37,1,1999-01-05,1999,1,5
120,1,1999-01-05,1999,1,5
35,1,1999-01-06,1999,1,6
36,1,1999-01-06,1999,1,6
36,1,1999-01-07,1999,1,7
36,3,1999-01-08,1999,1,8
36,3,1999-01-08,1999,1,8
36,3,1999-01-08,1999,1,8
37,2,1999-01-08,1999,1,8
37,2,1999-01-08,1999,1,8
35,1,1999-01-08,1999,1,8
34,1,1999-01-08,1999,1,8
101,1,1999-01-08,1999,1,8
107,1,1999-01-10,1999,1,10
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
35,9,1999-01-11,1999,1,11
34,6,1999-01-11,1999,1,11
34,6,1999-01-11,1999,1,11
34,6,1999-01-11,1999,1,11
34,6,1999-01-11,1999,1,11
34,6,1999-01-11,1999,1,11
34,6,1999-01-11,1999,1,11
38,2,1999-01-11,1999,1,11
38,2,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
36,7,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,8,1999-01-11,1999,1,11
37,2,1999-01-12,1999,1,12
37,2,1999-01-12,1999,1,12
36,4,1999-01-12,1999,1,12
36,4,1999-01-12,1999,1,12
36,4,1999-01-12,1999,1,12
